V1	V2	V3	V4	V5	V6
0.4	0.004218396	0.3181809	0.09362003	3.784955	0.2269814
1.55	0.003419626	0.3429158	0.14580921	6.196553	1.4457683
1.22	0.003180662	0.2563192	0.17101976	5.377638	1.1085828
2	0.006090884	0.355806	0.17977665	6.606124	1.503193
1.37	0.004218396	0.1881935	0.15797671	5.703452	1.1177968
2.17	0.005637698	0.6266803	0.17692865	12.788137	0.6719974
3	0.006470951	1.9130766	0.76111158	27.585992	1.32162
1.1	0.003042418	0.2195714	0.15994494	5.032510	1.0490402
1.66	0.003280509	0.3184578	0.27287473	5.829624	1.0276401
2.26	0.00280736	0.2603102	0.12694667	17.821637	0.6802121
2.33	0.004261688	0.3312135	0.095248	10.670007	0.7909909
2.39	0.004503983	0.2566629	0.04422168	5.877553	1.1574426
3.67	0.003292225	0.2755767	0.18729489	13.588167	0.8712645
3.99	0.002392989	0.2005426	0.10198022	9.684409	0.4975225
3.16	0.00384101	0.2029958	0.17362064	19.334649	0.9647706
2.65	0.011061974	0.2640109	0.14572221	12.937617	0.9386811
4.18	0.003162697	0.3306864	0.03116824	22.453228	0.9066664
43.91	0.005252642	1.9027053	0.37248091	68.812985	0.9679069
1.33	0.004095679	0.1112043	0.05464379	7.370729	0.2912754
