718,773,11
718,864,12
718,996,16
718,725,21
718,737,19
718,908,32
718,933,20
718,831,19
718,928,25
718,997,13
718,72,16
718,743,21
718,754,18
718,746,1
718,964,17
718,983,16
718,929,11
718,941,11
718,895,12
718,740,15
647,887,5
647,882,7
647,708,5
342,951,7
342,537,2
1178,804,15
1178,555,15
1178,579,10
1178,1377,14
1178,1548,12
1178,212,14
1178,1340,13
1178,347,13
1178,2098,10
1178,274,11
1178,46,9
1178,420,12
1178,712,9
1178,2118,12
1178,252,14
1178,614,11
1178,1940,11
1178,1195,14
1178,1268,12
1178,1729,0
1178,77,15
1178,2106,15
1178,623,13
1178,1549,15
1178,2058,10
1178,300,13
1178,1333,12
1681,1737,10
1681,1697,18
1681,2081,20
1681,329,39
1681,2065,24
1681,499,9
166,224,8
166,1712,10
166,725,13
166,951,4
166,387,5
166,815,17
166,842,14
166,718,13
166,518,8
166,928,14
166,537,8
166,71,9
166,523,11
166,1769,10
166,1838,30
166,764,18
1558,896,17
1558,217,18
1558,321,3
1558,1988,16
1558,1770,10
1558,2101,4
1558,842,9
512,537,12
160,162,13
160,690,15
160,224,13
160,2066,10
160,2120,17
160,906,2
160,585,11
160,217,12
160,2086,19
160,2094,8
160,546,7
160,2085,14
160,919,11
160,234,8
160,2076,9
160,1618,12
160,2045,14
160,965,13
160,1875,7
160,399,9
160,661,14
160,903,8
160,2109,5
160,381,12
160,1770,7
160,542,16
160,889,10
160,622,6
160,2047,13
160,928,15
160,797,9
160,1891,10
585,815,16
1962,833,11
1962,479,8
1962,688,14
1962,281,11
1962,1995,10
1962,390,5
1962,464,10
1962,246,11
1962,882,14
1962,755,7
370,97,3
2091,816,19
2091,720,12
2091,856,14
2091,931,15
2091,261,16
2091,581,11
2091,433,16
2091,372,14
2091,683,15
1272,1984,42
1272,251,11
1272,479,1
1272,856,34
1272,986,29
1272,143,5
1272,1286,44
1272,880,32
1272,1767,24
1272,1675,32
1272,581,19
1272,1890,23
1272,1689,46
1272,283,20
1272,27,19
1272,1896,22
1272,2102,31
1272,1846,18
1272,2110,29
1272,945,23
1272,473,17
1272,795,25
1272,1628,13
1272,1969,14
1272,2097,4
1272,286,38
1272,1426,30
1272,236,8
1272,863,29
1272,506,7
1272,1494,22
1272,1635,20
1272,1791,19
1272,1457,20
1272,662,27
185,207,7
185,217,13
185,899,10
1811,224,16
1811,202,15
1811,468,15
1811,2003,17
1811,715,28
1811,679,26
1811,725,16
1811,344,19
1811,951,17
1811,1988,17
1811,265,26
1811,718,18
1811,518,14
1811,2024,23
1811,928,26
1811,537,14
1811,71,14
1811,2074,27
1811,2068,12
1811,1838,36
1811,1910,17
1811,500,12
1811,551,17
1811,894,11
1811,797,13
1811,983,21
1811,639,14
1811,929,14
1811,1970,35
1811,706,11
1811,766,8
1811,629,16
1811,36,25
1811,683,1
1811,832,13
1811,513,11
1811,740,17
1811,1967,17
1811,966,10
1811,2052,17
1811,776,17
1811,220,22
1811,1874,12
1811,250,15
1811,1948,19
1811,635,15
1811,491,11
1636,530,3
1636,40,3
1636,962,4
1636,198,3
1716,2003,12
1716,459,10
1017,1121,9
1017,1218,11
1017,65,9
1017,1269,9
1017,801,6
1017,1049,12
1017,1073,12
1017,1571,6
1017,1618,8
1017,1789,14
1017,1314,7
1017,1365,8
1017,268,5
1017,2082,11
1017,1677,11
1017,1914,10
1017,1497,6
1017,1449,14
1017,889,9
1017,910,7
1017,63,11
1017,31,7
1017,928,11
1017,692,7
1017,544,4
1017,229,6
1017,500,7
1017,867,12
1017,1891,4
1017,1729,7
1017,1599,2
558,765,13
558,774,16
558,746,17
558,795,20
558,702,21
558,863,14
558,733,16
136,1698,3
136,1456,5
136,590,5
136,1521,4
136,1691,4
136,389,4
136,782,3
136,2008,4
136,615,4
136,423,4
136,1751,3
136,1798,3
136,992,3
136,1386,4
136,1808,2
136,2030,5
136,802,4
136,681,3
136,1944,4
2026,224,5
2026,395,18
2026,928,13
2026,85,11
